uid,group,join_dt,device,id,country,gender,uid,dt,device,spent
1000000,B,2023-01-28,I,1000000,CAN,M,,,,
1000001,A,2023-01-27,A,1000001,BRA,M,,,,
1000002,A,2023-02-01,A,1000002,FRA,M,,,,
1000003,B,2023-01-25,I,1000003,BRA,M,,,,
1000004,A,2023-02-04,A,1000004,DEU,F,,,,
1000005,B,2023-01-26,A,1000005,GBR,F,,,,
1000006,B,2023-01-31,A,1000006,ESP,M,,,,
1000007,A,2023-01-25,A,1000007,BRA,F,,,,
1000008,A,2023-02-05,A,1000008,BRA,F,,,,
1000009,A,2023-01-31,A,1000009,USA,,,,,
1000010,B,2023-02-01,I,1000010,BRA,M,,,,
1000012,B,2023-01-25,A,1000012,USA,M,,,,
1000013,A,2023-01-25,A,1000013,GBR,F,,,,
1000014,A,2023-01-28,A,1000014,USA,M,,,,
1000015,A,2023-01-29,A,1000015,AUS,F,,,,
1000016,A,2023-01-28,I,1000016,DEU,F,,,,
1000017,B,2023-01-26,A,1000017,MEX,O,,,,
1000018,B,2023-01-26,I,1000018,USA,M,,,,
1000019,B,2023-01-25,A,1000019,MEX,F,,,,
1000020,A,2023-02-01,A,1000020,AUS,M,,,,
1000021,B,2023-01-29,A,1000021,GBR,M,,,,
1000022,B,2023-01-25,A,1000022,DEU,F,,,,
1000023,B,2023-01-29,I,1000023,BRA,M,,,,
1000024,A,2023-01-25,A,1000024,CAN,M,,,,
1000025,A,2023-01-25,I,1000025,USA,M,,,,
1000026,B,2023-01-27,A,1000026,DEU,F,,,,
1000027,B,2023-01-31,I,1000027,BRA,,,,,
1000028,A,2023-01-28,A,1000028,BRA,F,,,,
1000029,A,2023-01-25,A,1000029,MEX,M,,,,
1000030,A,2023-01-26,I,1000030,FRA,F,,,,
1000031,B,2023-01-25,I,1000031,GBR,F,,,,
1000032,A,2023-01-27,I,1000032,GBR,,,,,
1000033,A,2023-01-31,A,1000033,FRA,,,,,
1000034,A,2023-01-26,A,1000034,USA,M,,,,
1000035,B,2023-01-27,A,1000035,USA,F,,,,
1000036,B,2023-01-30,A,1000036,USA,F,,,,
1000037,B,2023-01-26,A,1000037,TUR,M,,,,
1000038,A,2023-01-25,A,1000038,BRA,M,,,,
1000039,B,2023-02-04,A,1000039,GBR,F,1000039,2023-02-04,A,36.65
1000040,A,2023-01-25,A,1000040,USA,F,,,,
1000041,A,2023-01-27,A,1000041,CAN,M,,,,
1000042,A,2023-01-25,I,1000042,BRA,F,,,,
1000043,B,2023-01-25,A,1000043,,F,,,,
1000044,B,2023-01-27,A,1000044,USA,,,,,
1000045,B,2023-01-26,I,1000045,USA,F,1000045,2023-01-30,I,51.58
1000046,A,2023-01-26,I,1000046,BRA,M,,,,
1000047,A,2023-01-26,A,1000047,USA,F,,,,
1000048,A,2023-01-26,I,1000048,CAN,F,,,,
1000049,A,2023-01-26,A,1000049,USA,F,,,,
1000050,A,2023-01-29,A,1000050,MEX,M,,,,
1000051,B,2023-01-29,I,1000051,MEX,,,,,
1000052,B,2023-01-30,I,1000052,BRA,M,,,,
1000053,A,2023-01-28,A,1000053,BRA,M,,,,
1000054,B,2023-01-25,A,1000054,GBR,F,,,,
1000055,A,2023-01-25,A,1000055,ESP,M,,,,
1000056,B,2023-01-29,A,1000056,AUS,M,,,,
1000057,B,2023-01-26,A,1000057,BRA,O,,,,
1000058,A,2023-01-26,A,1000058,TUR,F,,,,
1000059,A,2023-01-27,A,1000059,DEU,F,,,,
1000061,B,2023-01-25,A,1000061,DEU,M,,,,
1000062,B,2023-01-25,I,1000062,AUS,F,,,,
1000063,A,2023-01-27,A,1000063,USA,F,,,,
1000064,B,2023-01-31,A,1000064,CAN,M,,,,
1000065,B,2023-02-01,I,1000065,TUR,F,,,,
1000066,A,2023-01-25,A,1000066,DEU,,,,,
1000067,A,2023-01-27,A,1000067,BRA,M,,,,
1000068,B,2023-01-30,A,1000068,GBR,F,,,,
1000069,B,2023-01-30,A,1000069,ESP,M,,,,
1000070,A,2023-01-26,I,1000070,ESP,M,,,,
1000071,B,2023-01-31,I,1000071,USA,F,1000071,2023-02-02,I,6.71
1000072,B,2023-01-28,I,1000072,DEU,F,,,,
1000073,A,2023-01-29,A,1000073,USA,M,,,,
1000074,B,2023-01-30,A,1000074,BRA,O,,,,
1000075,A,2023-01-30,A,1000075,GBR,M,,,,
1000076,A,2023-01-25,I,1000076,USA,F,,,,
1000077,A,2023-01-25,,1000077,AUS,F,,,,
